CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 
Done!16.26 s

Number of sentences: 15586
Number of features:  1528756
Number of thread(s): 8
Freq:                4
eta:                 0.00010
C:                   3.00000
shrinking size:      20
iter=143 terr=0.00063 serr=0.02368 act=1528756 obj=4357.38006 diff=0.10505
iter=144 terr=0.00061 serr=0.02316 act=1528756 obj=4332.92713 diff=0.00561
iter=145 terr=0.00060 serr=0.02278 act=1528756 obj=4324.33794 diff=0.00198
iter=146 terr=0.00058 serr=0.02233 act=1528756 obj=4309.61058 diff=0.00341
iter=147 terr=0.00060 serr=0.02297 act=1528756 obj=4298.86003 diff=0.00249
iter=148 terr=0.00060 serr=0.02239 act=1528756 obj=4285.74830 diff=0.00305
iter=149 terr=0.00058 serr=0.02188 act=1528756 obj=4262.83934 diff=0.00535
iter=150 terr=0.00073 serr=0.02554 act=1528756 obj=4328.73299 diff=0.01546
iter=151 terr=0.00059 serr=0.02169 act=1528756 obj=4250.74921 diff=0.01802
iter=152 terr=0.00058 serr=0.02169 act=1528756 obj=4225.18356 diff=0.00601
iter=153 terr=0.00057 serr=0.02124 act=1528756 obj=4215.65377 diff=0.00226
iter=154 terr=0.00057 serr=0.02143 act=1528756 obj=4207.60730 diff=0.00191
iter=155 terr=0.00055 serr=0.02079 act=1528756 obj=4195.09712 diff=0.00297
iter=156 terr=0.00054 serr=0.02034 act=1528756 obj=4188.04228 diff=0.00168
iter=157 terr=0.00052 serr=0.01944 act=1528756 obj=4176.49282 diff=0.00276
iter=158 terr=0.00052 serr=0.01976 act=1528756 obj=4164.34782 diff=0.00291
iter=159 terr=0.00053 serr=0.01970 act=1528756 obj=4157.68384 diff=0.00160
iter=160 terr=0.00051 serr=0.01931 act=1528756 obj=4146.77255 diff=0.00262
iter=161 terr=0.00051 serr=0.01931 act=1528756 obj=4140.42024 diff=0.00153
iter=162 terr=0.00052 serr=0.01970 act=1528756 obj=4135.27222 diff=0.00124
